               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.018569,            0.010138,            0.016302,             0.86679,              0.9042,              0.9489,             0.83109,           0.0053106,           0.0024893,           0.0042553,            0.007723,            0.007723,            0.007723
                  71,            0.015923,            0.010445,            0.017512,             0.87433,             0.79814,             0.93572,             0.82767,           0.0058228,           0.0024624,           0.0051422,             0.00769,             0.00769,             0.00769
                  72,             0.01665,            0.010557,            0.015244,             0.87384,              0.8364,             0.93772,              0.8409,           0.0070311,           0.0025375,           0.0046349,            0.007657,            0.007657,            0.007657
                  73,            0.013412,            0.010126,            0.014842,             0.91073,             0.81519,             0.94597,             0.76886,           0.0056439,           0.0027494,           0.0048447,            0.007624,            0.007624,            0.007624
                  74,            0.014271,            0.010565,            0.015894,             0.86244,             0.88471,              0.9254,             0.78342,           0.0073885,           0.0026849,           0.0049381,            0.007591,            0.007591,            0.007591
                  75,            0.015292,            0.010414,            0.015772,             0.76633,             0.80667,             0.86849,             0.75071,           0.0054261,           0.0025973,           0.0066833,            0.007558,            0.007558,            0.007558
                  76,            0.012671,           0.0099288,             0.01325,             0.79905,             0.88264,             0.91532,             0.76452,            0.006318,           0.0026076,           0.0052414,            0.007525,            0.007525,            0.007525
                  77,            0.013049,           0.0099732,            0.011946,             0.86467,             0.90298,             0.95305,              0.7848,           0.0057672,           0.0024893,           0.0040045,            0.007492,            0.007492,            0.007492
                  78,            0.014521,            0.010061,            0.014991,              0.9012,             0.81056,             0.91558,             0.76845,           0.0054095,           0.0025063,            0.004755,            0.007459,            0.007459,            0.007459
                  79,            0.013032,           0.0098153,            0.010867,             0.89158,             0.91506,             0.94766,             0.74301,           0.0062995,           0.0023185,           0.0031595,            0.007426,            0.007426,            0.007426
                  80,            0.014223,           0.0097671,              0.0126,             0.89193,             0.89463,             0.94822,             0.82522,           0.0057642,           0.0026219,           0.0027275,            0.007393,            0.007393,            0.007393
                  81,            0.016971,           0.0098291,            0.015665,             0.87629,             0.87042,             0.95531,             0.81731,           0.0056651,           0.0025587,           0.0044947,             0.00736,             0.00736,             0.00736
                  82,            0.015818,            0.010135,            0.016423,             0.76467,             0.83468,             0.89565,             0.76259,           0.0052727,           0.0022719,           0.0077858,            0.007327,            0.007327,            0.007327
                  83,            0.012717,            0.010216,            0.013455,             0.75553,             0.84684,             0.91017,             0.77096,            0.006064,           0.0024869,           0.0068512,            0.007294,            0.007294,            0.007294
                  84,            0.016504,             0.01018,            0.016964,             0.80471,             0.88621,             0.95144,             0.85311,           0.0058918,           0.0025236,           0.0050068,            0.007261,            0.007261,            0.007261
                  85,            0.013685,            0.010236,            0.014158,             0.81806,             0.81897,             0.90548,             0.78188,           0.0049416,             0.00263,           0.0067711,            0.007228,            0.007228,            0.007228
                  86,            0.016477,            0.010403,            0.015926,             0.81678,             0.86861,             0.93519,             0.80036,           0.0048309,           0.0026877,           0.0049057,            0.007195,            0.007195,            0.007195
                  87,             0.01563,            0.010243,            0.015798,             0.84394,             0.88799,             0.94768,             0.82564,           0.0046441,            0.002758,           0.0040483,            0.007162,            0.007162,            0.007162
                  88,              0.0138,            0.010379,             0.01434,             0.94316,             0.91875,             0.97673,             0.84725,           0.0052093,           0.0026694,           0.0028496,            0.007129,            0.007129,            0.007129
                  89,            0.013477,           0.0098117,            0.013937,             0.89006,             0.89089,             0.96062,             0.80909,           0.0057646,           0.0027228,           0.0045633,            0.007096,            0.007096,            0.007096
                  90,            0.013988,           0.0093253,            0.012971,             0.89674,             0.82991,             0.95208,             0.83609,           0.0059849,           0.0025252,           0.0051537,            0.007063,            0.007063,            0.007063
                  91,            0.013024,            0.010044,            0.011643,             0.82346,              0.8674,             0.92576,              0.8251,           0.0057196,            0.002501,           0.0044212,             0.00703,             0.00703,             0.00703
                  92,            0.013695,           0.0098673,            0.012396,             0.89548,             0.91099,             0.97304,             0.81164,           0.0048456,           0.0025228,           0.0030966,            0.006997,            0.006997,            0.006997
                  93,            0.013641,           0.0099301,            0.013063,             0.80149,             0.86675,             0.92214,             0.82106,           0.0054653,           0.0026487,           0.0044413,            0.006964,            0.006964,            0.006964
                  94,            0.013834,             0.00996,            0.016663,             0.87967,             0.89653,             0.96284,             0.84517,           0.0048114,           0.0023624,            0.003233,            0.006931,            0.006931,            0.006931
                  95,            0.012969,            0.009989,            0.011505,             0.89728,             0.93717,             0.96129,             0.81386,           0.0053873,            0.002863,           0.0028906,            0.006898,            0.006898,            0.006898
                  96,            0.015799,            0.010216,            0.012683,             0.89406,             0.87902,             0.95362,             0.82189,           0.0052049,           0.0027563,           0.0035496,            0.006865,            0.006865,            0.006865
                  97,            0.013312,           0.0095961,            0.012512,              0.9046,             0.90425,             0.95884,             0.87125,           0.0047794,           0.0027017,           0.0038033,            0.006832,            0.006832,            0.006832
                  98,            0.016343,           0.0094113,            0.014531,             0.84265,             0.88143,             0.93438,             0.81349,           0.0050588,           0.0027228,           0.0043125,            0.006799,            0.006799,            0.006799
                  99,            0.012554,           0.0095195,            0.012658,             0.83901,             0.91716,             0.96007,             0.83237,           0.0043754,           0.0029579,           0.0036497,            0.006766,            0.006766,            0.006766
                 100,            0.012978,           0.0094448,            0.013365,             0.91278,             0.91039,             0.97644,             0.82612,            0.004706,           0.0027202,           0.0027561,            0.006733,            0.006733,            0.006733
                 101,            0.014023,           0.0095982,            0.012302,             0.74114,             0.69409,             0.84623,             0.72838,           0.0049063,           0.0027353,            0.012955,              0.0067,              0.0067,              0.0067
                 102,            0.014543,           0.0096476,             0.01069,             0.83259,             0.80266,             0.93333,             0.77104,           0.0051759,           0.0027626,            0.007103,            0.006667,            0.006667,            0.006667
                 103,            0.013058,           0.0096849,            0.014347,             0.87921,             0.86013,             0.95643,             0.84717,           0.0042025,           0.0026784,           0.0046511,            0.006634,            0.006634,            0.006634
                 104,            0.012137,           0.0097972,            0.010338,              0.8823,             0.87245,             0.96544,             0.85976,           0.0047113,           0.0026947,           0.0041342,            0.006601,            0.006601,            0.006601
                 105,            0.012862,           0.0095716,            0.011076,             0.92419,              0.8814,             0.98196,             0.87312,           0.0048007,           0.0023198,           0.0034027,            0.006568,            0.006568,            0.006568
                 106,            0.014057,           0.0096762,            0.011717,             0.85821,             0.95459,               0.973,              0.8792,           0.0043123,           0.0022868,           0.0028343,            0.006535,            0.006535,            0.006535
                 107,            0.011713,            0.009939,            0.010603,             0.92872,              0.9473,             0.98939,             0.86688,           0.0043943,           0.0023242,           0.0021229,            0.006502,            0.006502,            0.006502
                 108,             0.01316,           0.0094675,            0.013345,             0.88642,             0.95504,             0.98693,              0.8396,           0.0043643,           0.0023393,           0.0024948,            0.006469,            0.006469,            0.006469
                 109,            0.014074,           0.0097093,            0.011555,              0.9064,             0.93337,             0.97558,             0.85766,           0.0046742,           0.0026268,           0.0035372,            0.006436,            0.006436,            0.006436
